Time,Retweets,Likes,,
13:30:41,33,401,,
13:30:43,33,402,,
13:30:56,33,422,,
13:31:26,39,466,,
13:31:57,40,486,,
13:32:28,41,511,,
13:32:58,44,538,,
13:33:29,44,564,,
13:34:00,47,582,,
13:34:30,49,603,,
13:35:01,53,635,,
13:35:31,54,654,,
13:36:02,55,680,,
13:36:33,57,710,,
13:37:03,58,728,,
13:37:34,59,754,,
13:38:05,61,777,,
13:38:35,65,793,,
13:39:06,66,812,,
13:39:37,69,831,,
13:40:07,69,852,,
13:40:38,70,863,,
13:41:08,70,884,,
13:41:39,72,907,,
13:42:10,73,917,,
13:42:40,74,935,,
13:43:11,74,947,,
13:43:42,74,973,,
13:44:12,77,988,,
13:44:43,79,1010,,
13:45:14,80,1021,,
13:45:44,80,1036,,
13:46:15,82,1050,,
13:46:46,84,1060,,
13:47:16,86,1077,,
13:47:47,86,1097,,
13:48:18,86,1109,,
13:48:48,87,1124,,
13:49:20,89,1137,,
13:49:50,89,1152,,
13:50:21,90,1162,,
13:50:52,90,1173,,
13:51:23,91,1186,,
13:51:53,91,1200,,
13:52:24,91,1217,,
13:52:55,91,1230,,
13:53:25,92,1243,,
13:53:56,92,1255,,
13:54:27,92,1268,,
13:54:57,92,1280,,
13:55:28,92,1294,,
13:55:59,92,1303,,
13:56:29,95,1316,,
13:57:00,95,1321,,
13:57:31,95,1330,,
13:58:01,96,1341,,
13:58:32,96,1352,,
13:59:02,97,1365,,
13:59:33,99,1375,,
14:00:04,100,1385,,
14:00:34,100,1400,,
14:01:05,101,1407,,
14:01:36,101,1416,,
14:02:06,101,1426,,
14:02:37,101,1434,,
14:03:08,102,1452,,
14:03:38,102,1463,,
14:04:09,103,1475,,
14:04:40,102,1480,,
14:05:10,102,1489,,
14:05:41,102,1500,,
14:06:12,103,1507,,
14:06:42,103,1513,,
14:07:13,104,1522,,
14:07:44,105,1535,,
14:08:15,105,1543,,
14:08:45,105,1548,,
14:09:16,105,1553,,
14:09:47,106,1562,,
14:10:17,106,1570,,
14:10:48,106,1579,,
14:11:19,108,1584,,
14:11:49,109,1592,,
14:12:20,110,1597,,
14:12:51,110,1600,,
14:13:22,110,1609,,
14:13:52,110,1613,,
14:14:23,110,1621,,
14:14:54,111,1628,,
14:15:24,111,1633,,
14:15:55,113,1640,,
14:16:26,113,1645,,
14:16:56,114,1649,,
14:17:27,115,1654,,
14:17:58,115,1664,,
14:18:29,115,1667,,
14:18:59,115,1670,,
14:19:30,115,1673,,
14:20:01,116,1680,,
14:20:32,116,1690,,
14:21:02,117,1697,,
14:21:33,117,1704,,
14:22:03,117,1710,,
14:22:34,117,1721,,
14:23:05,118,1727,,
14:23:36,118,1737,,
14:24:06,118,1742,,
14:24:37,118,1743,,
14:25:08,118,1751,,
14:25:39,118,1756,,
14:26:09,120,1763,,
14:26:40,120,1770,,
14:27:10,120,1776,,
14:27:42,121,1781,,
14:28:13,121,1784,,
14:28:44,121,1789,,
14:29:14,121,1795,,
14:29:45,122,1799,,
14:30:16,122,1801,,
14:30:47,122,1806,,
14:31:17,122,1809,,
14:31:48,122,1816,,
14:32:19,122,1820,,
14:32:49,122,1825,,
14:33:20,122,1828,,
14:33:51,122,1831,,
14:34:21,122,1835,,
14:34:52,122,1836,,
14:35:23,122,1839,,
14:35:53,122,1844,,
14:36:24,122,1848,,
14:36:55,122,1851,,
14:37:25,122,1853,,
14:37:56,122,1860,,
14:38:27,122,1863,,
14:46:20,123,1917,,
14:46:51,123,1923,,
14:48:36,125,1937,,
14:50:18,125,1950,,
14:50:50,125,1954,,
14:53:07,125,1974,,
14:53:38,125,1978,,
14:54:08,125,1980,,
14:54:39,126,1983,,
14:56:39,127,2003,,
14:57:10,127,2006,,
15:10:54,133,2123,,
15:17:34,135,2168,,
15:18:05,135,2172,,
15:24:33,136,2217,,
15:25:05,136,2220,,
15:31:15,139,2258,,
15:31:46,139,2260,,
15:32:28,140,2264,,
15:39:20,141,2304,,
15:39:52,142,2309,,
15:46:23,144,2337,,
15:46:54,144,2340,,
15:49:46,145,2351,,
15:54:35,147,2369,,
15:55:06,147,2369,,
15:55:36,147,2373,,
15:56:07,147,2378,,
15:59:56,149,2399,,
16:00:28,150,2402,,
