Time,Retweets,Likes,,
17:53:37,38870,205720,,
18:13:45,38885,205809,,
18:15:57,38878,205808,,
18:16:13,38874,205806,,
18:17:49,38875,205813,,
18:19:08,38876,205818,,
18:22:48,38875,205833,,
18:23:11,38876,205835,,
18:23:59,38877,205836,,
18:24:52,38880,205838,,
18:32:31,38885,205863,,
18:35:28,38886,205807,,
18:38:54,38887,205822,,
18:48:01,38886,205845,,
18:48:57,38885,205851,,
18:49:39,38886,205853,,
18:50:55,38887,205853,,
18:58:42,38886,205869,,
19:00:16,38887,205871,,
20:47:56,38926,206219,,
